event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KEN5566,2017/07/03,"2017","1",Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,"3",Civilians (Kenya),,"7","37",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,"2",Daily Nation (Kenya),National,"Herders in Bambo, Mandera, have discovered five bodies buried in a shallow grave.The five, four men and a woman, were reported missing by their relatives last week.The locals exhumed the bodies on Monday [3 July] morning and took them to Lafey Hospital.Medical personnel at the hospital told Nation.co.ke that a male body had bullet wounds in the forehead and the other bodies appeared to have been strangled.The five were from Fino Ward but their bodies were found in Warankara Ward about 65 kilometres away.","5",,"1561469151"
KEN5563,2017/06/30,"2017","2",Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,"3",Civilians (Kenya),,"7","37",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Lafey,Warankara,Bamba Hills,3.5008,41.0395,"1",Daily Nation (Kenya),National,"Herders in Bambo, Mandera, have discovered five bodies buried in a shallow grave.The locals exhumed the bodies on Monday [3 July] morning and took them to Lafey Hospital.Medical personnel at the hospital told Nation.co.ke that a male body had bullet wounds in the forehead and the other bodies appeared to have been strangled.The five were from Fino Ward but their bodies were found in Warankara Ward about 65 kilometres away.","5",,"1561469151"
KEN6516,2017/06/29,"2017","1",Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,"2",Police Forces of Kenya (2013-2022),,"1","12",,"404",Eastern Africa,Kenya,Lamu,Lamu East,Kiunga,Kiunga,-1.741,41.492,"1",Twitter,New media,The Kenyan security forces rescued 2 of the 4 pupils kidnapped during the Al Shabaab attack on Kiunga two days previously. No reports of clashes.,"0",,"1679360214"
SOM23043,2017/06/27,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Somalia),,"3",,,"0","30",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,El Wak,2.7352,41.0177,"1",Undisclosed Source,Local partner-Other,A second IED attack occurred at Ceel Waaq on 27/06. Details limited. The first occurred earlier in the day.,"0",,"1571260134"
KEN5555,2017/06/27,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Police Forces of Kenya (2013-2022),Civilians (Kenya),"1","12",,"404",Eastern Africa,Kenya,Lamu,Lamu East,Kiunga,Kiunga,-1.741,41.492,"1",Capital FM,National,"Eight people including four school children and four police officers were killed in a roadside bomb attack planted by suspected Al Shabaab fighters that occurred in Kiunga, Lamu on Tuesday. The police officers were escorting the school children to Kiunga from Mararani, when the lorry was hit by an IED. Following the blast, al Shabaab opened fire on the victims.","8",,"1679360213"
SOM23042,2017/06/27,"2017","1",Political violence,Battles,Armed clash,Military Forces of Kenya (2013-2022),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,El Wak,2.7352,41.0177,"2",Shabelle Media Network,National,"A Kenyan military convoy is hit by a roadside IED at Weray village, 18km east of Ceel Waaq town. Reports say that the Kenyan soldiers briefly clashed with al-Shabab fighters after the blast. Four deaths reported.","4",,"1679360219"
SOM23039,2017/06/26,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Kenya (2013-2022),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,Busaar,2.6778,41.3254,"1",Partner Database,Other,"KDF convoy headed to Wajir hit by IED, damages reported, 2 KDF wounded.","0",,"1679360219"
KEN5557,2017/06/25,"2017","1",Political violence,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,"4",Civilians (Kenya),,"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Marsabit,Laisamis,Laisamis,Laisamis,1.6,37.8,"2",Kenya Standard,National,The county commander said several people have been arrested in connection with an attack on a lorry carrying camels along Laisamis Road. One person was killed. The attackers transferred the animals to another truck and drove off.,"1",,"1561469151"
KEN5558,2017/06/25,"2017","1",Political violence,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,"4",Civilians (Kenya),,"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Marsabit,Saku,Marsabit Central,Saku,2.3333,37.9833,"1",Kenya Standard,National,A 12 year old boy was beheaded by raiders on Sunday morning in Saku constituency. Another person was seriously injured during the attack. The attack is suspected to be linked to recent violence between the Rendille and Borana communities.,"1",,"1561469151"
SOM23029,2017/06/24,"2017","1",Political violence,Battles,Armed clash,Military Forces of Somalia (2017-2022),,"1",Al Shabaab,,"2","12",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,El Wak,2.7352,41.0177,"1","Partner Database; Shabelle Media Network",Other-National,Al Shabaab shot and killed a senior army officer in Ceel Waaq. No group claimed responsibility at the time of reporting.,"1",,"1653348291"
KEN5551,2017/06/23,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,"2",Kenya Standard,National,An Improvised Device (IED) exploded when a vehicle ran over it. The vehicle was heading to Mandera from Elwak. No one was injured in the attack.,"0",,"1561469151"
KEN5553,2017/06/23,"2017","1",Political violence,Violence against civilians,Attack,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Mandera South,Elwak North,El Wak,2.8094,40.9358,"1",Kenya Standard,National,Five people were killed when Al Shabaab attacked the Equity bank In Elwak Town.,"5",,"1618560923"
KEN5550,2017/06/23,"2017","1",Political violence,Battles,Armed clash,Al Shabaab,,"2",Police Forces of Kenya (2013-2022),,"1","12",,"404",Eastern Africa,Kenya,Mandera,Mandera South,Elwak North,El Wak,2.8094,40.9358,"1",Kenya Standard,National,Police officers exchanged fire with Al Shabaab after they attacked the Equity Back in Elwak Town. Five police reported dead.,"5",,"1679360213"
KEN5546,2017/06/19,"2017","1",Political violence,Riots,Mob violence,Rioters (Kenya),,"5",Civilians (Kenya),Women (Kenya),"7","57",Civilian targeting,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,"1",Daily Nation (Kenya),National,Students from Kirimon Primary School in Samburu West Sub County attacked and injured three female teachers in protest against being punished by female teachers. The school was closed after the attack.,"0",,"1618560922"
KEN5545,2017/06/19,"2017","1",Demonstrations,Riots,Violent demonstration,Rioters (Kenya),Students (Kenya),"5",Police Forces of Kenya (2013-2022),"Civilians (Kenya); Teachers (Kenya); Women (Kenya)","1","15",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,"1",Daily Nation (Kenya),National,Students from Kirimon Primary School in Samburu West Sub County attacked and injured three female teachers in protest against being punished by female teachers. The school was closed after the attack. Police are injured when they try to rescue the besieged teachers.,"0",,"1679360213"
SOM22997,2017/06/19,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Kenya (2013-2022),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,El Wak,2.7352,41.0177,"2",Shabelle Media Network,National,"Two Kenya Defence Force (KDF) soldiers have been confirmed dead in an Improvised Explosive Device (IED) attack. The attack occurred on Monday, June 19, at Walcadey area near El Wak in Somalia's Gedo region. Al Shabaab was blamed.","2",,"1679360219"
KEN5544,2017/06/19,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Police Forces of Kenya (2013-2022),,"1","12",,"404",Eastern Africa,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,"1",Calamada,Regional,"Nine Kenyan soldiers were killed, and ten others were injured when a road side bomb explosed. Al Shabaab confirmed claimed responsibility of the attack.","9",,"1680570815"
KEN5541,2017/06/16,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Mandera South,Elwak North,El Wak,2.8094,40.9358,"2",AFP,International,Four cilivilians killed and 11 injured when a passenger bus struck a roadside bomb suspected to have been planted by Al Shabaab between Lafey and Elwak in Madera county.,"4",,"1618560922"
SOM22966,2017/06/14,"2017","1",Political violence,Battles,Armed clash,Military Forces of Somalia (2017-2022) Jubaland Security Force,,"1",Al Shabaab,,"2","12",,"706",Eastern Africa,Somalia,Gedo,Belet Xaawo,,Dhamase,3.15,41.33,"1",Undisclosed Source,Local partner-Other,Al Shabaab fighters attacked Jubaland base in Damase village (c. 90 km North East of Ceelwaaq district). There were no reports of casualties.,"0",,"1653348308"
SOM22933,2017/06/11,"2017","1",Political violence,Violence against civilians,Attack,Military Forces of Somalia (2017-2022) Jubaland Security Force,,"1",Civilians (Somalia),"Aid Workers (Somalia); Military Forces of Somalia (2017-2022)","7","17",Civilian targeting,"706",Eastern Africa,Somalia,Lower Juba,Afmadow,,Dhobley,0.4063,41.0124,"1",Undisclosed Source,Local partner-Other,"Jubaland local police officers, manning a relief cash voucher distribution site, shot and injured an off-duty Somali soldier at an INGO office in Bosnia neighbourhood of Dhobley town. The soldier defied instruction of the local police and forcefully attempted to access the INGO office. The victim was rushed to hospital for medical treatment. The perpetrator was arrest.","0",,"1653348313"
